DMA,2024 Females Age 15-19,2024 Females Age 20-24,2024 Females Age 25-29,Total Female GenZ,Total Population,Age_15_19_Percentage,Age_20_24_Percentage,Age_25_29_Percentage,GenZ_Concentration,GenZ_Index,Age_Variance,Region
Lima,3122,2879,2817,8818,101646,35.404853708323884,32.649126786119304,31.946019505556816,8.675206107471027,90.3190724995226,3.341987459995735,Other
Lincoln & Hastings-Krny,25268,26080,22774,74122,742358,34.08974393567362,35.1852351528561,30.72502091147028,9.984670468965108,103.95213264082253,5.402495519264816,Other
Little Rock-Pine Bluff,46819,45554,42851,135224,1432694,34.62329172336271,33.68780689818375,31.688901378453526,9.438442542510822,98.26525914415694,2.2469003052073875,Other
Los Angeles,567402,630689,646078,1844169,18151504,30.76735375120176,34.19908912903318,35.03355711976505,10.159868846129775,105.77615327305938,5.112272618826102,West Coast
Louisville,56963,57640,57286,171889,1895697,33.139409735352466,33.53326856285161,33.327321701795924,9.067324577714688,94.40148577058474,0.03880829878505641,Other
Lubbock,18938,20132,16633,55703,472532,33.99816885984597,36.14167998132955,29.86015115882448,11.788196354955854,122.72895283778382,10.195905794975493,Other
Macon,25373,24804,22127,72304,767220,35.09211108652357,34.30515600796637,30.602732905510067,9.424154740491646,98.1165063640567,5.74695859623821,Other
Madison,33384,39445,32946,105775,1037872,31.561333018199004,37.291420467974476,31.14724651382652,10.191526508085776,106.10574667175766,11.792707232334651,Other
Mankato,4258,5778,3556,13592,109697,31.32725132430842,42.510300176574454,26.16244849911713,12.390493814780715,128.9995759522424,69.83133738723613,Other
Marquette,5913,6767,5253,17933,212187,32.97273183516422,37.734902135727424,29.292366029108347,8.451507396777371,87.99010649930385,17.916629058253054,Other
Medford-Klamath Falls,12748,12248,11535,36531,478393,34.896389367934084,33.52768881224166,31.57592181982426,7.636190328871868,79.50169937052819,2.7847067236488807,Other
Memphis,58955,60747,59948,179650,1821175,32.81658780962984,33.81408293904815,33.369329251322014,9.864510549507873,102.70112691916613,0.24972091288719933,Other
Meridian,5051,4758,3931,13740,144476,36.76128093158661,34.62882096069869,28.609898107714706,9.510230072814863,99.01265154887554,17.869976629821018,Other
Miami-Ft. Lauderdale,131915,146394,148422,426731,4791859,30.912917036728054,34.305921060340125,34.78116190293182,8.905332982460461,92.71496323096696,4.450274751271129,Florida
Milwaukee,76777,78180,71844,226801,2411104,33.852143509067425,34.47074748347671,31.67710900745588,9.40652083029185,97.93291667246264,2.1529769825099194,Wisconsin
Minneapolis-St. Paul,162189,167552,152706,482447,5166592,33.617993271799804,34.7296179683986,31.652388759801596,9.337818817510653,97.21764812479043,2.4281083609864367,Minnesota
